#Wavelength (nm),"M1, M2, or M3
#2 years"
1208,0.936180534
1207,0.936313578
1206,0.936591981
1205,0.936041145
1204,0.935720094
1203,0.93587951
1202,0.936334438
1201,0.936008739
1200,0.936057828
1199,0.937669754
1198,0.937480443
1197,0.937553342
1196,0.937260005
1195,0.937710361
1194,0.937294235
1193,0.93735096
1192,0.93730655
1191,0.937060623
1190,0.937248249
1189,0.937404722
1188,0.937170982
1187,0.936824443
1186,0.936688385
1185,0.93689462
1184,0.936665834
1183,0.936379547
1182,0.937196452
1181,0.936579539
1180,0.93633969
1179,0.93635725
1178,0.936217721
1177,0.936158015
1176,0.936444009
1175,0.935941518
1174,0.936330916
1173,0.936312046
1172,0.936217499
1171,0.935766513
1170,0.93601998
1169,0.93647131
1168,0.936205966
1167,0.935616995
1166,0.936111348
1165,0.935928485
1164,0.936117776
1163,0.935996558
1162,0.93538449
1161,0.935321356
1160,0.934912879
1159,0.935306098
1158,0.9352005
1157,0.935077394
1156,0.935376422
1155,0.934490306
1154,0.934879831
1153,0.93503931
1152,0.934534829
1151,0.934694742
1150,0.934586582
1149,0.93448082
1148,0.934602877
1147,0.933774687
1146,0.934236526
1145,0.934494343
1144,0.933875987
1143,0.934270255
1142,0.934277445
1141,0.93398941
1140,0.93432368
1139,0.93378938
1138,0.933891767
1137,0.933208866
1136,0.933817406
1135,0.933507671
1134,0.933251896
1133,0.933341045
1132,0.933121916
1131,0.933156319
1130,0.932489287
1129,0.932842553
1128,0.933196443
1127,0.932917207
1126,0.932877502
1125,0.932655156
1124,0.931648547
1123,0.93273592
1122,0.932557621
1121,0.932104429
1120,0.93189333
1119,0.932113304
1118,0.931989352
1117,0.931410472
1116,0.931951052
1115,0.931820412
1114,0.931239808
1113,0.931642768
1112,0.93163084
1111,0.931544456
1110,0.930907612
1109,0.931092428
1108,0.930799802
1107,0.930865281
1106,0.930375023
1105,0.930681477
1104,0.930940069
1103,0.930172647
1102,0.930747954
1101,0.930161438
1100,0.929970837
1099,0.92990195
1098,0.929702752
1097,0.929680818
1096,0.930210463
1095,0.929590111
1094,0.929567254
1093,0.929404666
1092,0.92895291
1091,0.928935782
1090,0.928726877
1089,0.928815816
1088,0.928645058
1087,0.928751246
1086,0.928407084
1085,0.92839866
1084,0.928157717
1083,0.92809234
1082,0.927896309
1081,0.927687868
1080,0.927390963
1079,0.927322534
1078,0.927737001
1077,0.92724376
1076,0.92663983
1075,0.926492488
1074,0.926732769
1073,0.926779245
1072,0.926500295
1071,0.926086966
1070,0.926114566
1069,0.925794093
1068,0.925871696
1067,0.925620486
1066,0.92551431
1065,0.925437393
1064,0.924752655
1063,0.924994939
1062,0.924458256
1061,0.924541861
1060,0.92465704
1059,0.924172586
1058,0.923509356
1057,0.924318956
1056,0.923707555
1055,0.923616982
1054,0.923275979
1053,0.92285806
1052,0.922967676
1051,0.922685483
1050,0.922944571
1049,0.922983335
1048,0.922605406
1047,0.922063828
1046,0.922596258
1045,0.921574574
1044,0.921410281
1043,0.921785418
1042,0.921806335
1041,0.920744616
1040,0.920862605
1039,0.921137238
1038,0.920793546
1037,0.920447343
1036,0.920100136
1035,0.920097523
1034,0.919646899
1033,0.919906324
1032,0.919464531
1031,0.919567445
1030,0.919352729
1029,0.918987471
1028,0.918716056
1027,0.918896898
1026,0.91829923
1025,0.918548209
1024,0.918401814
1023,0.918210195
1022,0.918199081
1021,0.91798151
1020,0.917350267
1019,0.917801832
1018,0.917117399
1017,0.916886622
1016,0.916893412
1015,0.916735109
1014,0.916344541
1013,0.916166655
1012,0.916602427
1011,0.915392996
1010,0.915481911
1009,0.915526212
1008,0.915451412
1007,0.915030766
1006,0.914958108
1005,0.914598045
1004,0.91429142
1003,0.914158268
1002,0.913758837
1001,0.913516115
1000,0.913718713
999,0.912742062
998,0.91356177
997,0.912469699
996,0.912110271
995,0.912487081
994,0.911402556
993,0.911153755
992,0.910447318
991,0.910855776
990,0.910190493
989,0.909902636
988,0.909965687
987,0.909084174
986,0.909032224
985,0.908428491
984,0.908312308
983,0.90753973
982,0.907334569
981,0.907256953
980,0.90666488
979,0.906383127
978,0.905534763
977,0.905301749
976,0.904804014
975,0.905150592
974,0.904559816
973,0.904200617
972,0.903326003
971,0.903000412
970,0.902836685
969,0.902159748
968,0.901958167
967,0.901282272
966,0.901124802
965,0.901195526
964,0.900009689
963,0.899476986
